"Dataset","Method","bare","building","pavement","road","vegetable","water"
"WHDLD","SegNet","47.682","63.253","51.466","54.649","86.473","95.649"
"Tiramisu","50.313","68.918","53.576","70.047","88.206","96.598"
"U-Net","43.097","70.752","52.609","58.668","89.185","97.089"
"U-NetAtt","47.974","72.736","48.942","60.576","89.994","97.511"
"FGC","50.282","72.642","53.842","57.931","89.651","97.294"
"MSFCN","52.178","74.499","55.177","68.797","90.024","97.511"
"GID","SegNet","63.451","79.085","83.510","89.241","84.962","93.493"
"Tiramisu","57.062","79.007","85.436","87.068","83.274","92.449"
"U-Net","63.351","80.585","81.564","87.768","82.996","91.692"
"U-NetAtt","67.123","81.523","84.569","86.955","82.513","92.381"
"FGC","66.810","81.957","84.101","89.570","84.840","92.165"
"MSFCN","71.536","83.442","86.907","90.332","85.752","94.303"